============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  433  1 ,3371237E+04 -  1238264E-06  ,1276E+04 -,4077E+03  -,7956350  ,1635286 -,5832867
B  439  1 ,1828386E+05 -  4774381E-07  ,2758E+03 -,4688E+02  -,3785691  ,9110750 -,1631803
B  440  1 ,1398645E+04 -  1302524E-06  ,1297E+04 -,9790E+03  -,6301293  ,7671856  ,1198474
B  441  1 ,1139882E+05 -  2893928E-07  ,7956E+03 -,1864E+03  -,8888163 -,1958018 -,4143274
B  442  1 ,1393323E+05 -  4287705E-07  ,4696E+03  ,2215E+02  -,2715248  ,9034362  ,3317789
B  445  1 ,7554394E+04 -  9790616E-07  ,6694E+03  ,3706E+03  -,4819312  ,4658295  ,7421221
B  449  1 ,5049204E+04 -  1436747E-06  ,2219E+03 -,3977E+03  -,7856123  ,4284375 -,4463795
B  451  1 ,3422382E+04 -  1448141E-06  ,1323E+04 -,2630E+03  -,8906987  ,0017812 -,4545907
B  452  1 ,1508301E+05 -  7266001E-07  ,2963E+03 -,1561E+03  -,8140339  ,3198833 -,4847921
B  453  1 ,1308191E+05 -  2601484E-08  ,3939E+03 -,2661E+03  -,4539885 -,3751694 -,8081722
B  454  1 ,1258868E+05 -  3979566E-07  ,2464E+03  ,1145E+03  -,3264047 -,8065013  ,4929661
B  456  1 ,4909520E+04 -  8265263E-07  ,8036E+03 -,2780E+03  -,3782377 -,7004798 -,6051978
B  458  1 ,5841422E+04 -  1432384E-06  ,1220E+04 -,2404E+03  -,6213654  ,7622006  ,1815361
B  461  1 ,2649605E+04 -  4354808E-07  ,1070E+04 -,2968E+03  -,2189024  ,6844596  ,6954112
B  464  1 ,1452552E+05 -  1274838E-06  ,3354E+03  ,1477E+03  -,8836389  ,4286433  ,1882742
B  466  1 ,1780586E+05 -  9457437E-07  ,7832E+02 -,3662E+02  -,6716328 -,5567691 -,4887920
